time,knowing,avg_belief,disp
3127.0,0.01,1.0,0.9822691538052335
3128.0,0.01,1.0,0.9822691538052335
3129.0,0.01,1.0,0.9822691538052335
3130.0,0.01,1.0,0.9822691538052335
3131.0,0.01,1.0,0.9822691538052335
3132.0,0.01,1.0,0.9822691538052335
3133.0,0.01,1.0,0.9822691538052335
3134.0,0.01,1.0,0.9822691538052335
3135.0,0.01,1.0,0.9822691538052335
3136.0,0.01,1.0,0.9822691538052335
3137.0,0.01,1.0,0.9822691538052335
3138.0,0.01,1.0,0.9822691538052335
3139.0,0.01,1.0,0.9822691538052335
3140.0,0.01,1.0,0.9822691538052335
3141.0,0.01,1.0,0.9822691538052335
3142.0,0.01,1.0,0.9822691538052335
3143.0,0.01,1.0,0.9822691538052335
3144.0,0.01,1.0,0.9822691538052335
3145.0,0.01,1.0,0.9822691538052335
3146.0,0.01,1.0,0.9822691538052335
3147.0,0.01,1.0,0.9822691538052335
3148.0,0.01,1.0,0.9822691538052335
3149.0,0.01,1.0,0.9822691538052335
3150.0,0.01,1.0,0.9822691538052335
3151.0,0.01,1.0,0.9822691538052335
3152.0,0.01,1.0,0.9822691538052335
3153.0,0.01,1.0,0.9822691538052335
3154.0,0.01,1.0,0.9822691538052335
3155.0,0.01,1.0,0.9822691538052335
3156.0,0.01,1.0,0.9822691538052335
3157.0,0.01,1.0,0.9822691538052335
3158.0,0.01,1.0,0.9822691538052335
3159.0,0.01,1.0,0.9822691538052335
3160.0,0.01,1.0,0.9822691538052335
3161.0,0.01,1.0,0.9822691538052335
3162.0,0.01,1.0,0.9822691538052335
3163.0,0.01,1.0,0.9822691538052335
3164.0,0.01,1.0,0.9822691538052335
3165.0,0.01,1.0,0.9822691538052335
3166.0,0.01,1.0,0.9822691538052335
3167.0,0.01,1.0,0.9822691538052335
3168.0,0.01,1.0,0.9822691538052335
3169.0,0.01,1.0,0.9822691538052335
3170.0,0.01,1.0,0.9822691538052335
3171.0,0.01,1.0,0.9822691538052335
3172.0,0.01,1.0,0.9822691538052335
3173.0,0.01,1.0,0.9822691538052335
3174.0,0.01,1.0,0.9822691538052335
3175.0,0.01,1.0,0.9822691538052335
3176.0,0.01,1.0,0.9822691538052335
3177.0,0.01,1.0,0.9822691538052335
3178.0,0.01,1.0,0.9822691538052335
3179.0,0.01,1.0,0.9822691538052335
3180.0,0.01,1.0,0.9822691538052335
3181.0,0.01,1.0,0.9822691538052335
3182.0,0.01,1.0,0.9822691538052335
3183.0,0.01,1.0,0.9822691538052335
3184.0,0.01,1.0,0.9822691538052335
3185.0,0.01,1.0,0.9822691538052335
3186.0,0.01,1.0,0.9822691538052335
3187.0,0.01,1.0,0.9822691538052335
3188.0,0.01,1.0,0.9822691538052335
3189.0,0.01,1.0,0.9822691538052335
3190.0,0.01,1.0,0.9822691538052335
3191.0,0.01,1.0,0.9822691538052335
3192.0,0.01,1.0,0.9822691538052335
3193.0,0.01,1.0,0.9822691538052335
3194.0,0.01,1.0,0.9822691538052335
3195.0,0.01,1.0,0.9822691538052335
3196.0,0.01,1.0,0.9822691538052335
3197.0,0.01,1.0,0.9822691538052335
3198.0,0.01,1.0,0.9822691538052335
3199.0,0.01,1.0,0.9822691538052335
3200.0,0.01,1.0,0.9822691538052335
3201.0,0.01,1.0,0.9822691538052335
3202.0,0.01,1.0,0.9822691538052335
3203.0,0.01,1.0,0.9822691538052335
3204.0,0.01,1.0,0.9822691538052335
3205.0,0.01,1.0,0.9822691538052335
3206.0,0.01,1.0,0.9822691538052335
3207.0,0.01,1.0,0.9822691538052335
3208.0,0.01,1.0,0.9822691538052335
3209.0,0.01,1.0,0.9822691538052335
3210.0,0.01,1.0,0.9822691538052335
3211.0,0.01,1.0,0.9822691538052335
3212.0,0.01,1.0,0.9822691538052335
3213.0,0.01,1.0,0.9822691538052335
3214.0,0.01,1.0,0.9822691538052335
3215.0,0.01,1.0,0.9822691538052335
3216.0,0.01,1.0,0.9822691538052335
3217.0,0.01,1.0,0.9822691538052335
3218.0,0.01,1.0,0.9822691538052335
3219.0,0.01,1.0,0.9822691538052335
3220.0,0.01,1.0,0.9822691538052335
3221.0,0.01,1.0,0.9822691538052335
3222.0,0.01,1.0,0.9822691538052335
3223.0,0.01,1.0,0.9822691538052335
3224.0,0.01,1.0,0.9822691538052335
3225.0,0.01,1.0,0.9822691538052335
3226.0,0.01,1.0,0.9822691538052335
3227.0,0.01,1.0,0.9822691538052335
3228.0,0.01,1.0,0.9822691538052335
3229.0,0.01,1.0,0.9822691538052335
3230.0,0.01,1.0,0.9822691538052335
3231.0,0.01,1.0,0.9822691538052335
3232.0,0.01,1.0,0.9822691538052335
3233.0,0.01,1.0,0.9822691538052335
3234.0,0.01,1.0,0.9822691538052335
3235.0,0.01,1.0,0.9822691538052335
3236.0,0.01,1.0,0.9822691538052335
3237.0,0.01,1.0,0.9822691538052335
3238.0,0.01,1.0,0.9822691538052335
3239.0,0.01,1.0,0.9822691538052335
3240.0,0.01,1.0,0.9822691538052335
3241.0,0.01,1.0,0.9822691538052335
3242.0,0.01,1.0,0.9822691538052335
3243.0,0.01,1.0,0.9822691538052335
3244.0,0.01,1.0,0.9822691538052335
3245.0,0.01,1.0,0.9822691538052335
3246.0,0.01,1.0,0.9822691538052335
3247.0,0.01,1.0,0.9822691538052335
3248.0,0.01,1.0,0.9822691538052335
3249.0,0.01,1.0,0.9822691538052335
3250.0,0.01,1.0,0.9822691538052335
3251.0,0.01,1.0,0.9822691538052335
3252.0,0.01,1.0,0.9822691538052335
3253.0,0.01,1.0,0.9822691538052335
3254.0,0.01,1.0,0.9822691538052335
3255.0,0.01,1.0,0.9822691538052335
3256.0,0.01,1.0,0.9822691538052335
3257.0,0.01,1.0,0.9822691538052335
3258.0,0.01,1.0,0.9822691538052335
3259.0,0.01,1.0,0.9822691538052335
3260.0,0.01,1.0,0.9822691538052335
3261.0,0.01,1.0,0.9822691538052335
3262.0,0.01,1.0,0.9822691538052335
3263.0,0.01,1.0,0.9822691538052335
3264.0,0.01,1.0,0.9822691538052335
3265.0,0.01,1.0,0.9822691538052335
3266.0,0.01,1.0,0.9822691538052335
3267.0,0.01,1.0,0.9822691538052335
3268.0,0.01,1.0,0.9822691538052335
3269.0,0.01,1.0,0.9822691538052335
3270.0,0.01,1.0,0.9822691538052335
3271.0,0.01,1.0,0.9822691538052335
3272.0,0.01,1.0,0.9822691538052335
3273.0,0.01,1.0,0.9822691538052335
3274.0,0.01,1.0,0.9822691538052335
3275.0,0.01,1.0,0.9822691538052335
3276.0,0.01,1.0,0.9822691538052335
3277.0,0.01,1.0,0.9822691538052335
3278.0,0.01,1.0,0.9822691538052335
3279.0,0.01,1.0,0.9822691538052335
3280.0,0.01,1.0,0.9822691538052335
3281.0,0.01,1.0,0.9822691538052335
3282.0,0.01,1.0,0.9822691538052335
3283.0,0.01,1.0,0.9822691538052335
3284.0,0.01,1.0,0.9822691538052335
3285.0,0.01,1.0,0.9822691538052335
3286.0,0.01,1.0,0.9822691538052335
3287.0,0.01,1.0,0.9822691538052335
3288.0,0.01,1.0,0.9822691538052335
3289.0,0.01,1.0,0.9822691538052335
3290.0,0.01,1.0,0.9822691538052335
3291.0,0.01,1.0,0.9822691538052335
3292.0,0.01,1.0,0.9822691538052335
3293.0,0.01,1.0,0.9822691538052335
3294.0,0.01,1.0,0.9822691538052335
3295.0,0.01,1.0,0.9822691538052335
3296.0,0.01,1.0,0.9822691538052335
3297.0,0.01,1.0,0.9822691538052335
3298.0,0.01,1.0,0.9822691538052335
3299.0,0.01,1.0,0.9822691538052335
3300.0,0.01,1.0,0.9822691538052335
3301.0,0.01,1.0,0.9822691538052335
3302.0,0.01,1.0,0.9822691538052335
3303.0,0.01,1.0,0.9822691538052335
3304.0,0.01,1.0,0.9822691538052335
3305.0,0.01,1.0,0.9822691538052335
3306.0,0.01,1.0,0.9822691538052335
